Bus,busmap
1594,FRD2
1595,FRD2
1596,FRE1
1597,FRE1
1598,FR10
1599,FR10
1600,FR10
1601,FR10
1602,FRE2
1603,FRE2
1604,FRJ1
1605,FRJ1
1606,FRI3
1607,FRF3
1608,FRC2
1609,FRC2
1610,FRG0
1611,FRC2
1612,FRK2
1613,FRF1
1614,FR10
1615,FR10
1616,FRB0
1617,FRJ1
1618,FRK1
1619,FRF1
1620,FRF1
1621,FR10
1622,FRB0
1623,FRK2
1624,FRC1
1625,FRF1
1626,FRF1
1627,FRF1
1628,FRJ2
1629,FRJ2
1630,FRK2
1631,FRK2
1632,FRK2
1633,FRG0
1634,FRI3
1635,FRK2
1636,FR10
1637,FRE1
1638,FRE1
1639,FRL0
1640,FRE1
1641,FRE1
1642,FRK2
1643,FRK2
1644,FRK1
1645,FRK1
1646,FRK1
1647,FRK1
1648,FRK1
1649,FRK1
1650,FRK1
1651,FRK1
1652,FRK2
1653,FRK2
1654,FRE1
1655,FRJ2
1656,FR10
1657,FR10
1658,FRI1
1659,FRJ2
1660,FRJ2
1661,FRC1
1662,FRC1
1663,FRF1
1664,FRF1
1665,FRF1
1666,FRF1
1667,FRF3
1668,FRF3
1669,FRF3
1670,FRF3
1671,FRF3
1672,FRF3
1673,DE13
1674,FRF3
1675,FRI2
1676,FRI2
1677,FRF2
1678,FRF2
1679,FR10
1680,FR10
1681,FR10
1682,FR10
1683,FR10
1684,FRF2
1685,FRF2
1686,FRF2
1687,FRF2
1688,FRJ1
1689,FRJ1
1690,FRJ1
1691,FRF2
1692,FRF2
1693,FRE1
1694,FRE1
1695,FRF2
1696,FRF2
1697,FRE2
1698,FRK2
1699,FRK2
1700,FR10
1701,FRJ2
1702,FRJ2
1703,FRK2
1704,FRK2
1705,FRK2
1706,FRK2
1707,FRK2
1708,FRK2
1709,FRK2
1710,FRK2
1711,FRK2
1712,FRK2
1713,FRK2
1714,FRK2
1715,FRK2
1716,FRE2
1717,FRE2
1718,FRE1
1719,FRE1
1720,FRE1
1721,FRE1
1722,FRE1
1723,FRE2
1724,FRE2
1725,FRE2
1726,FRE2
1727,FRE2
1728,FR10
1729,FRI3
1730,FRE1
1731,FRE1
1732,FRE1
1733,FRE1
1734,FRD2
1735,FRD2
1736,FRE2
1737,FRE2
1738,FRE2
1739,FRD2
1740,FRD2
1741,FRD2
1742,FRD2
1743,FRD1
1744,FRD1
1745,FRD1
1746,FRD1
1747,FRD1
1748,FRD1
1749,FRD1
1750,FRD1
1751,FRH0
1752,FRH0
1753,FRH0
1754,FRH0
1755,FRG0
1756,FRG0
1757,FRB0
1758,FRB0
1759,FRB0
1760,FRB0
1761,FRB0
1762,FRB0
1763,FRB0
1764,FRB0
1765,FRB0
1766,FRH0
1767,FRF2
1768,FRJ2
1769,FR10
1770,FR10
1771,FR10
1772,FRC2
1773,FR10
1774,FRL0
1775,FRL0
1776,FRF3
1777,FRL0
1778,FR10
1779,FRL0
1780,FRL0
1781,FRK2
1782,FRK2
1783,FRC2
1784,FRH0
1785,FRK2
1786,FRK2
1787,FRK2
1788,FRJ2
1790,FRC1
1791,FRC1
1792,FRJ1
1793,FRJ1
1794,FRE2
1795,FRH0
1796,FRG0
1797,FRG0
1798,FRG0
1799,FRL0
1800,FRL0
1801,FRK2
1802,FRK2
1803,FR10
1804,FRL0
1805,FRL0
1806,FRG0
1807,FRJ1
1808,FRE1
1809,FRI2
1810,FRK2
1811,FRL0
1812,FRI1
1813,FRI1
1814,FRI3
1815,FRI3
1816,FRI3
1817,FRI3
1818,FRI3
1819,FRI3
1820,FRI3
1821,FRI3
1822,FRB0
1823,FRB0
1824,FRI1
1825,FRI1
1826,FRJ2
1827,FRJ2
1828,FRH0
1829,FRF2
1830,FRD1
1831,FRE1
1832,FRE1
1833,FRJ2
1834,FRJ2
1835,FRJ2
1836,FRJ1
1837,FRJ1
